    PID TTY      STAT   TIME COMMAND
   4985 ?        Sl     0:00 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4963 --enable-crash-reporter=1d75497d-871f-405d-9857-ed9e2db89ae7,no_channel --user-data-dir=/home/prince/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8834757231865838772,707570837290425594,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   5021 ?        Sl     0:32 /usr/share/code/code --type=zygote
   5037 ?        Sl     0:04 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4963 --enable-crash-reporter=1d75497d-871f-405d-9857-ed9e2db89ae7,no_channel --user-data-dir=/home/prince/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8834757231865838772,707570837290425594,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   5038 ?        Sl     0:02 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4963 --enable-crash-reporter=1d75497d-871f-405d-9857-ed9e2db89ae7,no_channel --user-data-dir=/home/prince/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8834757231865838772,707570837290425594,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   5057 ?        Sl     0:03 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --crashpad-handler-pid=4963 --enable-crash-reporter=1d75497d-871f-405d-9857-ed9e2db89ae7,no_channel --user-data-dir=/home/prince/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8834757231865838772,707570837290425594,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   5102 ?        I      0:00 [kworker/5:0-events]
   5128 ?        I      0:00 [kworker/3:1]
   5736 ?        I      0:01 [kworker/u32:2-i915]
   5777 ?        I      0:00 [kworker/1:0-mm_percpu_wq]
   5852 ?        Ssl    0:42 /usr/libexec/gnome-terminal-server
   5859 pts/0    Ss     0:00 bash
   5875 ?        I      0:00 [kworker/4:2-events]
   5981 ?        I<     0:00 [kworker/u33:1-rtw_tx_wq]
   5985 ?        Sl     0:28 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=68 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=1756641106 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   5994 ?        Sl     0:07 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=69 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=1766462697 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   6024 ?        I      0:01 [kworker/u32:1-events_unbound]
   6045 ?        I      0:00 [kworker/0:0-i915-unordered]
   6077 ?        I      0:00 [kworker/1:1-cgroup_destroy]
   6098 ?        I<     0:01 [kworker/u33:2-rtw_tx_wq]
   6102 ?        Sl     0:00 /opt/brave.com/brave/brave --type=renderer --crashpad-handler-pid=3430 --enable-crash-reporter=, --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=70 --time-ticks-at-unix-epoch=-1754214500618853 --launch-time-ticks=2370349480 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,10144926210488532018,9838991022733078003,262144 --disable-features=EyeDropper --variations-seed-version=main@d22c1458121ad971c01561b6e9dcc136dabb6916
   6114 ?        I      0:00 [kworker/u32:3-kvfree_rcu_reclaim]
   6120 ?        I      0:00 [kworker/7:1-cgroup_destroy]
   6134 ?        I      0:00 [kworker/2:0-cgroup_destroy]
   6360 ?        I      0:00 [kworker/6:2]
   6368 ?        Sl     0:36 /snap/snap-store/1270/bin/snap-store
   6626 pts/1    Ss+    0:00 bash
   6688 ?        Ssl    0:00 /usr/libexec/packagekitd
   6802 ?        I<     0:00 [kworker/u33:0-i915_flip]
   7568 ?        I      0:00 [kworker/5:2-events]
   8100 ?        I      0:00 [kworker/0:2-events]
   8611 ?        I      0:00 [kworker/1:2]
   8617 pts/0    R+     0:00 ps ax
